Major_Category,Lemma,Count
hazal,הוא,19616
hazal,לא,17520
hazal,על,15483
hazal,את,13463
hazal,אם,12420
hazal,זה,12401
hazal,אין,12031
hazal,היי,11472
hazal,או,10523
hazal,הרי,9359
hazal,כל,8655
hazal,לו,8103
hazal,של,7468
hazal,אומר,5931
hazal,עד,5790
hazal,אינו,5744
hazal,אחד,5707
hazal,אלא,5466
hazal,בית,5463
hazal,דבר,5364
hazal,אחר,5322
hazal,מן,5139
hazal,בין,4727
hazal,כול,4594
hazal,יום,4496
hazal,כן,4369
hazal,אבל,4043
hazal,שלושה,3925
hazal,חייב,3877
hazal,אמר,3802
hazal,יד,3791
hazal,שנה,3613
hazal,נאמר,3438
hazal,בעל,3347
hazal,טמא,3292
hazal,אוכל,3234
hazal,יש,3192
hazal,אלה,3133
hazal,אישה,2911
hazal,מפני,2901
hazal,אסור,2870
hazal,טהור,2758
hazal,רבי,2717
hazal,אפילו,2713
hazal,כלי,2707
hazal,מותר,2694
hazal,לה,2687
hazal,מקום,2638
hazal,שם,2532
hazal,מת,2507
hazal,בא,2505
hazal,בו,2415
hazal,טומאה,2323
hazal,מה,2216
hazal,אחת,2208
hazal,שניים,2197
hazal,אדם,2155
hazal,כדי,2122
hazal,אב,2117
hazal,עשרה,2108
hazal,כך,2049
hazal,מים,2033
hazal,עצם,2030
hazal,מי,2025
hazal,שבת,1983
hazal,דין,1958
hazal,בן,1946
hazal,פה,1903
hazal,ארבעה,1899
hazal,עשה,1880
hazal,ישראל,1859
hazal,נתן,1836
hazal,דרך,1828
hazal,"אע""פ",1821
hazal,נותן,1816
hazal,ראשון,1805
hazal,לי,1776
hazal,עם,1721
hazal,תרומה,1717
hazal,נמצא,1706
hazal,פטור,1661
hazal,דם,1588
hazal,הביא,1574
hazal,זמן,1571
hazal,תורה,1560
hazal,כמו,1533
hazal,שאר,1508
hazal,צריך,1505
hazal,קודש,1498
hazal,עושה,1484
hazal,בהמה,1482
hazal,גדול,1481
hazal,אף,1468
hazal,כיצד,1466
hazal,חוץ,1451
hazal,[,1414
hazal,ארץ,1412
hazal,יוצא,1407
hazal,],1404
hazal,ראש,1381
hazal,מעשר,1365
hazal,בתוך,1339
hazal,יצא,1329
hazal,נעשה,1314
hazal,הוציא,1310
hazal,פרי,1303
hazal,חכם,1295
hazal,רב,1271
hazal,קטן,1268
hazal,בשר,1262
hazal,רשות,1245
hazal,שעה,1230
hazal,איש,1224
hazal,לפיכך,1216
hazal,שדה,1200
hazal,פסול,1198
hazal,בת,1175
hazal,נכנס,1166
hazal,ספק,1162
hazal,אני,1139
hazal,מצווה,1100
hazal,יין,1096
hazal,אמה,1095
hazal,קיבל,1089
hazal,מטמא,1079
hazal,קודם,1071
hazal,חמישה,1050
hazal,נפל,1043
hazal,שמא,1032
hazal,חצי,1031
hazal,כוהן,1029
hazal,כשר,1017
hazal,הניח,1015
hazal,מאה,1015
hazal,כגון,1008
hazal,יכול,1004
hazal,בלבד,996
hazal,גט,992
hazal,משום,980
hazal,עבד,978
hazal,מביא,975
hazal,מקדש,967
hazal,לפני,960
hazal,חי,956
hazal,בפני,948
hazal,מכר,937
hazal,טוב,926
hazal,כתב,909
hazal,ראוי,905
hazal,נוטל,887
hazal,קנה,885
hazal,פלוני,859
hazal,יהודה,858
hazal,תחילה,838
hazal,הואיל,834
hazal,חזר,833
hazal,שמן,812
hazal,וכיוצא,811
hazal,רגל,778
hazal,פחות,777
hazal,שמעון,776
hazal,לתוך,775
hazal,מעשה,774
hazal,קרקע,774
hazal,דעת,771
hazal,חטאת,769
hazal,לפי,768
hazal,שטר,763
hazal,פנים,757
hazal,לוקח,753
hazal,נגע,752
hazal,בגד,750
hazal,שני,744
hazal,חול,743
hazal,בזה,741
hazal,מוכר,730
hazal,כלל,728
hazal,טפח,727
hazal,מזבח,727
hazal,תחת,724
hazal,כלום,722
hazal,בירך,720
hazal,חדש,718
hazal,עיר,715
hazal,נכס,713
hazal,רוצה,713
hazal,שבועה,710
hazal,עולה,704
hazal,נדר,701
hazal,עלה,696
hazal,צד,688
hazal,עומד,683
hazal,חצר,682
hazal,משלם,675
hazal,חלק,672
hazal,ביאר,671
hazal,אמור,670
hazal,זרע,666
hazal,לאחר,658
hazal,שנייה,658
hazal,מתנה,655
hazal,העיד,654
hazal,אח,652
hazal,יודע,647
hazal,עבר,647
hazal,ערב,641
hazal,שישה,641
hazal,אל,639
hazal,נגד,636
hazal,עבודה,635
hazal,+,633
hazal,רוב,633
hazal,שכר,633
