Major_Category,Lemma,Count
mikra,את,2621
mikra,אשר,1660
mikra,יהוה,1526
mikra,אל,1282
mikra,על,994
mikra,כי,987
mikra,כל,967
mikra,לא,947
mikra,ואת,828
mikra,ויאמר,632
mikra,בני,623
mikra,משה,615
mikra,ישראל,547
mikra,הוא,451
mikra,׀,388
mikra,הארץ,364
mikra,ולא,358
mikra,לו,351
mikra,לך,324
mikra,בן,322
mikra,לאמר,305
mikra,אתו,302
mikra,איש,286
mikra,עד,280
mikra,אתם,264
mikra,או,256
mikra,ליהוה,254
mikra,אלהיך,252
mikra,לפני,247
mikra,מצרים,244
mikra,הכהן,235
mikra,לכם,233
mikra,אלהים,228
mikra,אתה,227
mikra,אהרן,223
mikra,מן,218
mikra,העם,215
mikra,שנה,209
mikra,שם,208
mikra,יהיה,206
mikra,כאשר,203
mikra,וכל,197
mikra,הזה,196
mikra,ויהי,194
mikra,אחד,189
mikra,דבר,189
mikra,אם,188
mikra,פרעה,184
mikra,לי,177
mikra,להם,164
mikra,יוסף,162
mikra,יעקב,160
mikra,כן,160
mikra,בארץ,158
mikra,והיה,157
mikra,אני,152
mikra,עליו,151
mikra,ואם,142
mikra,אתכם,140
mikra,בכל,140
mikra,וידבר,140
mikra,ביום,138
mikra,מועד,138
mikra,היום,135
mikra,אלה,133
mikra,בו,133
mikra,ארץ,131
mikra,אנכי,127
mikra,שני,125
mikra,שנים,123
mikra,אליו,122
mikra,גם,122
mikra,ההוא,121
mikra,ימים,121
mikra,והנה,119
mikra,עשו,118
mikra,ואל,117
mikra,זהב,117
mikra,אברהם,116
mikra,ועל,116
mikra,עשה,115
mikra,פני,115
mikra,צוה,112
mikra,נא,111
mikra,נתן,108
mikra,אשה,107
mikra,מאות,107
mikra,עם,105
mikra,קדש,105
mikra,משפחת,104
mikra,אהל,102
mikra,המזבח,100
mikra,הנה,100
mikra,כסף,97
mikra,תעשה,96
mikra,אחיו,94
mikra,ויקרא,90
mikra,תחת,90
mikra,ויאמרו,88
mikra,וירא,88
mikra,זה,88
mikra,אלי,87
mikra,ויקח,87
mikra,לבני,87
mikra,אלהיכם,85
mikra,יום,85
mikra,אלהם,84
mikra,אמר,84
mikra,האלה,84
mikra,הזאת,84
mikra,אחרי,82
mikra,בית,82
mikra,ויעש,82
mikra,לכל,82
mikra,שמה,82
mikra,מה,80
mikra,מכל,80
mikra,שבע,80
mikra,אלף,79
mikra,אדני,77
mikra,ויתן,77
mikra,אין,76
mikra,ממנו,76
mikra,אביו,75
mikra,המשכן,75
mikra,אחת,74
mikra,בה,74
mikra,בקר,74
mikra,ויבא,74
mikra,יצחק,74
mikra,הקדש,73
mikra,השמים,73
mikra,עשר,73
mikra,מלך,72
mikra,בניו,71
mikra,זאת,71
mikra,עוד,71
mikra,ועשית,70
mikra,מאד,70
mikra,אלהי,68
mikra,למען,68
mikra,נפש,68
mikra,שתי,67
mikra,הם,66
mikra,לעשות,66
mikra,האיש,65
mikra,הדבר,65
mikra,העדה,65
mikra,עמך,65
mikra,שבעת,65
mikra,בין,64
mikra,האדמה,64
mikra,האחד,64
mikra,לנו,64
mikra,עמו,64
mikra,תהיה,64
mikra,בת,63
mikra,כנען,63
mikra,מי,62
mikra,אליך,61
mikra,וישב,61
mikra,ידו,61
mikra,לבן,61
mikra,במדבר,60
mikra,מאת,60
mikra,מעל,60
mikra,עולם,60
mikra,שמו,60
mikra,בא,59
mikra,האדם,59
mikra,ויסעו,59
mikra,פן,59
mikra,פתח,59
mikra,בשר,58
mikra,ותאמר,58
mikra,מארץ,58
mikra,עשרה,58
mikra,פי,58
mikra,ראש,58
mikra,האלהים,57
mikra,ובני,57
mikra,חמשה,56
mikra,מים,56
mikra,אחיך,55
mikra,הנגע,55
mikra,ויצא,55
mikra,זכר,55
