Major_Category,Lemma,Count
modern,את,257777
modern,של,189132
modern,לא,181943
modern,אני,174636
modern,זה,168985
modern,הוא,154814
modern,על,110326
modern,היי,106205
modern,לי,100996
modern,כול,60994
modern,עם,51405
modern,מה,50201
modern,אבל,46890
modern,יום,46655
modern,/,46113
modern,כל,45969
modern,גם,43238
modern,יש,43194
modern,אם,39523
modern,יותר,39079
modern,אז,37657
modern,או,36946
modern,כי,31698
modern,טוב,31372
modern,כך,30651
modern,דבר,28896
modern,שנה,28851
modern,עצם,27497
modern,עוד,27101
modern,רק,26681
modern,לו,24198
modern,אין,24043
modern,בית,24021
modern,איש,23707
modern,אל,23324
modern,שם,23202
modern,פעם,22058
modern,כמו,21975
modern,חי,21901
modern,רוצה,21882
modern,אחד,21338
modern,כבר,21166
modern,אחר,21113
modern,זמן,21079
modern,כמה,20722
modern,היה,19595
modern,אלה,19591
modern,עשה,18511
modern,עד,18481
modern,בא,18340
modern,=,17797
modern,יודע,17171
modern,כן,16350
modern,ממש,15963
modern,אחרי,15758
modern,אמר,15643
modern,הרבה,15640
modern,יד,15052
modern,משהו,14835
modern,הגיע,14756
modern,עכשיו,14116
modern,יכול,13953
modern,_,13942
modern,התחיל,13922
modern,דרך,13843
modern,אולי,13708
modern,אחרון,13516
modern,בין,13369
modern,חברה,13330
modern,מי,13325
modern,כדי,13266
modern,מקום,13259
modern,מאוד,13172
modern,פשוט,13020
modern,לפני,12945
modern,דיבר,12858
modern,שעה,12856
modern,פה,12563
modern,קצת,12501
modern,איזה,12456
modern,כלל,12278
modern,חדש,12072
modern,אוהב,11918
modern,ראשון,11903
modern,עולם,11823
modern,נראה,11552
modern,לה,11432
modern,ב,11390
modern,*,11300
modern,הכי,10973
modern,קיבל,10893
modern,צריך,10882
modern,שבוע,10876
modern,איך,10872
modern,גדול,10822
modern,עבר,10802
modern,שלושה,10786
modern,רגע,10668
modern,סוף,10650
modern,ילד,10621
modern,בל,10592
modern,אף,10572
modern,אומר,10414
modern,הראה,10224
modern,אפשר,9894
modern,באמת,9888
modern,אפילו,9848
modern,קטן,9716
modern,אחת,9663
modern,],9582
modern,שניים,9479
modern,חבר,9466
modern,חושב,9390
modern,ה,9317
modern,ראש,9261
modern,רב,9180
modern,לב,9120
modern,מישהו,9102
modern,+,9075
modern,תמיד,8961
modern,עבודה,8828
modern,עושה,8755
modern,ספר,8730
modern,אדם,8617
modern,חלק,8613
modern,שוב,8506
modern,צד,8431
modern,קשה,8397
modern,עניין,8260
modern,מצב,8221
modern,פורום,8144
modern,למה,8079
modern,ככה,7837
modern,ראה,7828
modern,הגיד,7716
modern,יצא,7646
modern,הצליח,7631
modern,חצי,7504
modern,אוכל,7471
modern,בן,7443
modern,[,7442
modern,אצל,7393
modern,נכנס,7316
modern,עדיין,7241
modern,שיר,7171
modern,כאן,7168
modern,פנים,7158
modern,נשאר,6988
modern,חזר,6933
modern,לאחר,6927
modern,כתב,6902
modern,אי,6872
modern,חודש,6750
modern,אתמול,6745
modern,בת,6713
modern,המשיך,6697
modern,חשב,6624
modern,יכולת,6623
modern,נכון,6619
modern,בגלל,6603
modern,אך,6583
modern,מילה,6522
modern,צריכה,6513
modern,נמצא,6501
modern,די,6490
modern,נתן,6459
modern,יפה,6457
modern,אישה,6421
modern,החליט,6409
modern,מדי,6389
modern,סרט,6368
modern,בשביל,6288
modern,תמונה,6268
modern,ניסה,6241
modern,מקרה,6201
modern,שום,6199
modern,הרגיש,6152
modern,מרגיש,6139
modern,ישראל,6120
modern,שאלה,6063
modern,אמא,5995
modern,נוסף,5985
modern,סתם,5946
modern,טיפול,5942
modern,בוקר,5926
modern,בעל,5861
modern,משפחה,5767
modern,למרות,5732
modern,בעיה,5729
modern,קשר,5695
modern,אהבה,5688
modern,בו,5662
modern,יוצא,5648
modern,ערב,5647
modern,לילה,5628
modern,אופן,5605
modern,אלא,5604
modern,אשר,5532
modern,חדר,5530
modern,חשוב,5512
modern,כמעט,5496
modern,%,5401
modern,חולה,5300
modern,נעשה,5286
modern,סיפר,5261
modern,משחק,5249
modern,שונה,5238
modern,כוח,5201
modern,מחר,5174
modern,קרוב,5037
modern,כאב,5031
modern,בי,4984
modern,חוץ,4975
modern,כמובן,4958
modern,רוב,4958
modern,עובר,4933
modern,לפחות,4922
modern,נושא,4907
modern,שיעור,4830
modern,כאילו,4824
modern,הנה,4819
modern,נחמד,4773
modern,רואה,4758
modern,בדיוק,4734
modern,הורה,4702
modern,הכיר,4688
modern,רע,4685
modern,הביא,4678
modern,שמע,4670
modern,בתוך,4649
modern,חייב,4645
modern,–,4645
modern,פחות,4636
modern,מספר,4634
modern,תקופה,4625
modern,פוסט,4587
modern,גורם,4566
modern,ביקש,4559
modern,שלום,4537
modern,בלוג,4518
modern,קודם,4516
modern,דעת,4506
modern,גילה,4462
modern,כיף,4445
modern,לפעמים,4439
modern,קרא,4437
modern,כנראה,4410
modern,המון,4409
modern,נורא,4399
modern,אינו,4393
modern,קל,4385
modern,גיל,4371
modern,רגל,4366
modern,מן,4338
modern,הבין,4330
modern,לבד,4327
modern,&,4320
modern,אבא,4282
modern,סיבה,4247
modern,אמור,4234
modern,יחד,4200
modern,מת,4174
modern,כלום,4158
modern,ללא,4140
modern,כיתה,4088
modern,שינה,4077
modern,צורה,4066
modern,ים,4065
modern,אמת,4033
modern,ידע,4032
modern,שיחה,4029
modern,קבוצה,4027
modern,עלה,3992
modern,עת,3989
modern,תודה,3985
modern,שני,3975
modern,עקר,3974
modern,מים,3956
modern,מעט,3946
modern,פתאום,3936
modern,חסר,3929
modern,דקה,3917
modern,מגיע,3902
modern,מחלה,3891
modern,עובד,3885
modern,מול,3872
modern,חמישה,3861
modern,לכן,3859
modern,בטוח,3814
modern,ברור,3794
modern,ישב,3780
modern,מחשב,3765
modern,הייתי,3734
modern,דווקא,3722
modern,קורא,3689
modern,^,3688
modern,ממשלה,3676
modern,מלא,3665
modern,קרה,3641
modern,כסף,3636
modern,מבחן,3630
modern,רמה,3625
modern,מדינה,3610
modern,מלחמה,3606
modern,יחס,3596
modern,ניהל,3568
modern,סוג,3556
modern,ארץ,3550
modern,הלכה,3547
modern,עובדה,3543
modern,קצר,3533
modern,סיפור,3522
modern,רוח,3521
modern,בסדר,3520
modern,בדיקה,3508
modern,נהנה,3499
modern,גבוה,3497
