Sub_Category,Lemma,Count
articles,של,2565
articles,את,1826
articles,הוא,1550
articles,על,1491
articles,טיפול,901
articles,זה,829
articles,או,800
articles,לא,682
articles,יותר,670
articles,ניתוח,565
articles,עם,522
articles,מחלה,461
articles,יש,448
articles,גורם,443
articles,גם,442
articles,שנה,422
articles,ילד,396
articles,אלה,391
articles,תרופה,384
articles,כי,383
articles,יום,376
articles,כאב,359
articles,אישה,351
articles,מצב,345
articles,כך,332
articles,בין,326
articles,מחקר,314
articles,%,307
articles,רב,305
articles,כל,303
articles,חי,302
articles,אחר,298
articles,גיל,298
articles,דרך,296
articles,בדיקה,294
articles,סרטן,289
articles,אם,280
articles,לאחר,273
articles,חולה,271
articles,–,269
articles,יד,260
articles,עצם,258
articles,בעיה,256
articles,עור,252
articles,אשר,245
articles,שונה,243
articles,מקרה,242
articles,נוסף,242
articles,דיכאון,241
articles,היי,239
articles,הנה,235
articles,חומר,232
articles,אינו,230
articles,נתן,224
articles,מה,221
articles,מספר,221
articles,תהליך,221
articles,עד,219
articles,רופא,219
articles,עת,218
articles,תוצאה,218
articles,תא,217
articles,עלול,215
articles,לידה,214
articles,חשוב,213
articles,כמו,211
articles,ראייה,210
articles,איש,209
articles,יכולת,208
articles,תופעה,208
articles,רפואי,207
articles,"ד""ר",206
articles,זמן,205
articles,אין,202
articles,חברתי,201
articles,כול,201
articles,סובל,197
articles,צורך,197
articles,חלק,195
articles,יכול,194
articles,יתר,189
articles,כאשר,189
articles,שימוש,189
articles,סוג,187
articles,אני,186
articles,כן,186
articles,דם,185
articles,ה,185
articles,כלל,182
articles,בית,181
articles,גוף,180
articles,מוח,176
articles,אופן,170
articles,גבוה,170
articles,שיטה,169
articles,מרכז,168
articles,אף,165
articles,היריון,165
articles,פה,164
articles,רמה,162
articles,אדם,161
articles,כדי,160
articles,עצב,159
articles,השפעה,158
articles,טופל,158
articles,אצל,157
articles,נמצא,154
articles,סיכון,153
articles,שינוי,152
articles,עוד,151
articles,ללא,149
articles,חדש,148
articles,רק,146
articles,שלב,146
articles,*,145
articles,באמצעות,145
articles,כגון,145
articles,מאוד,143
articles,סוכרת,143
articles,עישון,142
articles,בעל,140
articles,שתן,140
articles,אך,139
articles,דבר,139
articles,חלבון,139
articles,ראשון,139
articles,ירידה,138
articles,ב,136
articles,לחץ,135
articles,עין,135
articles,אל,134
articles,אחד,133
articles,הפרעה,132
articles,עובר,131
articles,מערכה,130
articles,עישן,130
articles,טוב,129
articles,פעילות,129
articles,קיים,129
articles,בריאות,128
articles,דלקת,128
articles,אזור,127
articles,תפקוד,127
articles,אי,126
articles,מהלך,126
articles,קיבל,125
articles,משמעותי,124
articles,הורה,121
articles,חברה,120
articles,שד,120
articles,כ,118
articles,משפחה,117
articles,לו,116
articles,סיבה,115
articles,/,113
articles,כולל,113
articles,מקום,113
articles,משקל,113
articles,קבוצה,113
articles,חרדה,111
articles,קושי,111
articles,קשר,111
articles,תחום,111
articles,ביצע,110
articles,ישראל,109
articles,שבוע,109
articles,התפתחות,108
articles,שלושה,108
articles,תחושה,108
articles,היה,107
articles,פרופ',107
articles,קשה,106
articles,אחרון,105
articles,גדול,105
articles,עשוי,104
articles,בקרב,103
articles,לכן,101
articles,לפני,101
articles,רוב,101
articles,פלסטי,100
articles,רפואה,100
articles,שריר,100
articles,פנים,99
articles,עבר,98
articles,רגל,98
articles,תקופה,98
articles,מים,97
articles,אחת,96
articles,מאפשר,96
articles,מומחה,96
articles,קל,96
articles,לי,95
articles,עולם,95
articles,אבחון,94
articles,גבר,94
articles,טיפל,94
articles,תווך,94
articles,כמות,93
articles,נעשה,93
articles,שעה,93
articles,עקר,92
articles,גידול,91
articles,אתר,90
articles,דומה,90
articles,נזק,90
articles,"ע""י",88
articles,תינוק,88
articles,מהווה,87
articles,צורה,87
articles,שם,87
articles,פגיעה,86
articles,קטן,86
articles,המרה,85
articles,נבדק,85
articles,אינה,84
articles,אפשר,84
articles,יעיל,84
articles,פעולה,84
articles,השתמש,83
articles,פחות,83
articles,תקין,83
articles,איכות,82
articles,דובר,82
articles,הראה,82
articles,חוקר,82
articles,עלייה,82
articles,אוכלוסייה,81
articles,טבעי,81
articles,ניהל,81
articles,קשור,81
articles,שינה,81
articles,מומלץ,80
articles,נערך,80
articles,בני,79
articles,נתון,79
articles,פעם,79
articles,מאת,78
articles,מנת,78
articles,נגרם,78
articles,נושא,78
articles,ניתן,78
articles,שדרה,78
articles,גב,77
articles,דיסק,77
articles,ליקוי,77
articles,מתן,77
articles,שליטה,77
articles,בל,76
articles,חוסר,76
articles,מחלקה,76
articles,מטרה,76
articles,אחרי,75
articles,חודש,75
articles,מסוים,75
articles,נוגד,75
articles,תרופתי,75
articles,בתוך,74
articles,לב,73
articles,לגבי,73
articles,מי,73
articles,נפשי,73
articles,נכון,72
articles,סיבוך,72
articles,בן,71
articles,הופעה,71
articles,הורמון,71
articles,טווח,71
articles,לוואי,71
articles,מתאים,71
articles,מתבצע,71
articles,צוואר,71
articles,מטופל,70
articles,בטן,69
articles,חבר,69
articles,מוקדם,69
articles,יחס,68
articles,עיקרי,68
articles,עמוד,68
articles,כלי,67
articles,מנגנון,67
articles,עודף,67
articles,עולה,67
articles,שיפור,67
articles,כבר,66
articles,נוזל,66
articles,נמוך,66
articles,נראה,66
articles,עקב,66
articles,קרוב,66
articles,אוניברסיטה,65
articles,כיס,65
articles,משל,65
articles,אולם,64
articles,זוג,64
articles,שכיח,64
articles,ידוע,63
articles,למידה,63
articles,מידע,63
articles,מיוחד,63
articles,מרפאה,63
articles,עיניים,63
articles,שכיחות,63
articles,בו,62
articles,התחיל,62
articles,עבודה,62
articles,רחם,62
articles,אור,61
articles,אחוז,61
articles,בא,61
articles,סייע,61
articles,קליני,61
articles,אבל,60
articles,ל,60
articles,לעומת,60
articles,מבנה,60
articles,נש,60
articles,שומן,60
articles,במשך,59
articles,בסיס,59
articles,דוגמה,59
articles,הגיע,59
articles,הזדקנות,59
articles,זיהום,59
articles,יוצר,59
articles,מפרק,59
articles,פיתח,59
articles,פסיכולוגי,59
articles,ראש,59
articles,אלא,58
articles,בלבד,58
articles,גדילה,58
articles,השמנה,58
articles,התקדם,58
articles,כמה,58
articles,מבוגר,58
articles,מונע,58
articles,מעקב,58
articles,משקפיים,58
articles,סיגריה,58
articles,צמח,58
articles,רקמה,58
articles,הוביל,57
articles,היפנוזה,57
articles,כירורגי,57
articles,נוצר,57
articles,קצר,57
articles,הפסקה,56
articles,מגיע,56
articles,קיימת,56
articles,תמונה,56
articles,בחינה,55
articles,משך,55
articles,ערמונית,55
articles,צעיר,55
articles,יחד,54
articles,מגע,54
articles,שיעור,54
articles,כרוני,53
articles,מלחמה,53
articles,נקודה,53
articles,סבל,53
articles,ערך,53
articles,פיתוח,53
articles,אינסולין,52
articles,הרבה,52
articles,השפיע,52
articles,מופיע,52
articles,סיכוי,52
articles,פסיכולוג,52
articles,צבע,52
articles,איבר,51
articles,דרגה,51
articles,למרות,51
articles,נגד,51
articles,נמנע,51
articles,נפש,51
articles,קרן,51
articles,שאלה,51
articles,שמש,51
articles,אנטי,50
articles,יחסי,50
articles,קבלה,50
articles,אפשרות,49
articles,חוליה,49
articles,חיצוני,49
articles,כללי,49
articles,מידה,49
articles,ממוצע,49
articles,ספר,49
articles,סרטני,49
articles,אחראי,48
articles,ארך,48
articles,התאמה,48
articles,חיסון,48
articles,כיצד,48
articles,לימוד,48
articles,ניתח,48
articles,עדשה,48
articles,שילוב,48
articles,אישי,47
articles,הצלחה,47
articles,הרדמה,47
articles,השתלה,47
articles,מכון,47
articles,מסביר,47
articles,נחשב,47
articles,פשוט,47
articles,ציין,47
articles,קוגניטיבי,47
articles,ריאה,47
articles,רצוי,47
articles,תנועה,47
articles,הזרקה,46
articles,התנהגות,46
articles,חשיבות,46
articles,יודע,46
articles,מצא,46
articles,צד,46
articles,ציבור,46
articles,רגישות,46
articles,שניים,46
articles,ברור,45
articles,ככל,45
articles,מתבטא,45
articles,נוער,45
articles,ניסיון,45
articles,סביבה,45
articles,אגודה,44
articles,הופיע,44
articles,החלמה,44
articles,חווה,44
articles,חום,44
articles,טיפולי,44
articles,ייחודי,44
articles,מניע,44
articles,מרבית,44
articles,מרכזי,44
articles,סימן,44
articles,עשרה,44
articles,רוח,44
articles,רצון,44
articles,תסמין,44
articles,אמור,43
articles,ביצוע,43
articles,במידה,43
articles,בעקבות,43
articles,הכיל,43
articles,טכנולוגיה,43
articles,כמעט,43
articles,מעבר,43
articles,סיפק,43
articles,עובדה,43
articles,עוצמה,43
articles,צוות,43
articles,צריך,43
articles,שירות,43
articles,שפיר,43
articles,תפקיד,43
articles,הכשיר,42
articles,חד,42
articles,יחידה,42
articles,יתרון,42
articles,מצוי,42
articles,מקומי,42
articles,שלפוחית,42
articles,ארץ,41
articles,גילה,41
articles,המשך,41
articles,הרגל,41
articles,חוזר,41
articles,טכניקה,41
articles,לה,41
articles,מדינה,41
articles,מורכב,41
articles,מתפתח,41
articles,ניסוי,41
articles,נפוץ,41
articles,עשה,41
articles,רוצה,41
articles,’,41
articles,גילוי,40
articles,חזה,40
