Sub_Category,Lemma,Count
forum,/,1515
forum,את,738
forum,אני,703
forum,של,683
forum,אם,658
forum,זה,631
forum,לי,596
forum,על,543
forum,לא,514
forum,הוא,447
forum,יש,414
forum,טיפול,384
forum,או,354
forum,כאב,282
forum,"ד""ר",272
forum,מה,264
forum,פורום,249
forum,שלום,235
forum,גם,227
forum,היריון,218
forum,ניהל,211
forum,יום,207
forum,עם,202
forum,ויטמין,199
forum,בדיקה,195
forum,היי,186
forum,אלמוג,185
forum,חודש,184
forum,לידה,183
forum,שאלה,182
forum,רופא,181
forum,כל,168
forum,שנה,168
forum,בעיה,151
forum,עשה,150
forum,יכול,149
forum,נתן,149
forum,תשובה,143
forum,מאוד,139
forum,יותר,138
forum,גיא,137
forum,גב,134
forum,רב,134
forum,רגל,134
forum,כול,133
forum,זמן,125
forum,לאחר,125
forum,עור,125
forum,אין,124
forum,פצע,121
forum,אך,113
forum,כי,112
forum,בת,110
forum,לפני,107
forum,תודה,104
forum,שבוע,103
forum,כמו,102
forum,פנים,102
forum,ברזל,100
forum,חולה,98
forum,כך,97
forum,אור,96
forum,דם,96
forum,כבר,96
forum,דרך,95
forum,כן,95
forum,מומלץ,95
forum,סובל,95
forum,עצם,95
forum,בן,94
forum,ברכה,93
forum,נוסף,92
forum,ניתוח,92
forum,תופעה,91
forum,קיבל,90
forum,מצב,89
forum,אלה,87
forum,בריאות,86
forum,דבר,86
forum,מקרה,86
forum,רק,86
forum,בין,85
forum,כמה,83
forum,איילה,82
forum,פעם,82
forum,השתמש,81
forum,עד,81
forum,כלל,80
forum,תחום,80
forum,אזור,79
forum,אחרון,79
forum,המליץ,79
forum,חשוב,79
forum,איזה,78
forum,גוף,78
forum,פינה,78
forum,תוצאה,78
forum,מחסור,77
forum,אחרי,75
forum,התחיל,75
forum,אצל,74
forum,גיל,72
forum,כדור,72
forum,אבל,71
forum,בית,71
forum,תזונה,71
forum,אחר,70
forum,דלקת,70
forum,מחקר,70
forum,רוצה,66
forum,שעה,65
forum,אז,64
forum,כדי,64
forum,טוב,63
forum,לגבי,63
forum,עוד,63
forum,הנה,61
forum,לכן,61
forum,גורם,60
forum,רפואה,60
forum,טיפל,59
forum,יד,59
forum,הרבה,58
forum,נכון,58
forum,אישה,57
forum,מספר,57
forum,קשר,57
forum,אפשר,56
forum,עבר,56
forum,שלם,56
forum,מהלך,55
forum,סוכרת,55
forum,שלושה,55
forum,יודע,54
forum,מחלה,54
forum,עובר,54
forum,רפואי,54
forum,במידה,53
forum,ידעו,53
forum,כמות,53
forum,מינון,53
forum,מינרל,53
forum,מרכז,53
forum,קיים,53
forum,תרופה,53
forum,איך,52
forum,אקנה,52
forum,דובר,52
forum,חי,52
forum,צורך,52
forum,אתר,51
forum,מראש,50
forum,ה,49
forum,ללא,49
forum,מומחה,49
forum,לקחו,48
forum,מזון,48
forum,דיסק,47
forum,ייתכן,47
forum,כדאי,47
forum,כף,47
forum,מרפאה,47
forum,מתאים,47
forum,סוג,47
forum,תוסף,47
forum,אכן,46
forum,ב,46
forum,חלק,46
forum,משקל,46
forum,פעילות,46
forum,קורס,46
forum,שימוש,46
forum,אינו,45
forum,הצלחה,45
forum,לו,45
forum,עת,45
forum,אוכל,44
forum,יוכל,44
forum,פרט,44
forum,המולטי,43
forum,צריך,43
forum,שונה,43
forum,שם,43
forum,חברה,42
forum,נושא,42
forum,צילום,42
forum,זיו,41
forum,חצי,41
forum,כיוון,41
forum,שריר,41
forum,בגרות,40
forum,דעת,40
forum,ילד,40
forum,לימוד,40
forum,"מ""ג",40
forum,עמית,40
forum,פיזיותרפיסט,40
forum,אולי,39
forum,איש,39
forum,הכיל,39
forum,יכולת,39
forum,עבודה,39
forum,עדיין,39
forum,עושה,39
forum,עקב,39
forum,ראשון,39
forum,תמיכה,39
forum,אחד,38
forum,טבעי,38
forum,כ,38
forum,פה,38
forum,אינה,37
forum,חוסר,37
forum,כגון,37
forum,לוקח,37
forum,מחזור,37
forum,מי,37
forum,עלול,37
forum,פרופ',37
forum,שיער,37
forum,אל,36
forum,ארגון,36
forum,ביצע,36
forum,גדול,36
forum,מסוים,36
forum,שינה,36
forum,שניים,36
forum,אילת,35
forum,אשמח,35
forum,דיאטה,35
forum,חומצה,35
forum,חומר,35
forum,ישראל,35
forum,לחץ,35
forum,משחה,35
forum,תרגיל,35
forum,אדיר,34
forum,אפשרות,34
forum,במשך,34
forum,גבוה,34
forum,סיבה,34
forum,עזר,34
forum,עקר,34
forum,פתרון,34
forum,הודה,33
forum,זריקה,33
forum,משפחה,33
forum,עכשיו,33
forum,פריצה,33
forum,קבלה,33
forum,קטן,33
forum,תקופה,33
forum,אמור,32
forum,אמר,32
forum,היה,32
forum,השלמה,32
forum,מקור,32
forum,נש,32
forum,צוואר,32
forum,קרוב,32
forum,ראש,32
forum,אחת,31
forum,הגיע,31
forum,ירושלים,31
forum,יתר,31
forum,כוהן,31
forum,מעט,31
forum,נטילה,31
forum,נכנס,31
forum,צד,31
forum,תחתון,31
forum,תכשיר,31
forum,תקין,31
forum,אופן,30
forum,הכנה,30
forum,יפה,30
forum,מתאר,30
forum,קשה,30
forum,קשור,30
forum,תוספת,30
forum,אוניברסיטה,29
forum,אילן,29
forum,אלא,29
forum,אף,29
forum,אפילו,29
forum,דוקטור,29
forum,חדש,29
forum,חזק,29
forum,כלשהו,29
forum,לה,29
forum,מוצר,29
forum,מנת,29
forum,נראה,29
forum,עזרה,29
forum,שיפור,29
forum,בגלל,28
forum,הרכיב,28
forum,כאשר,28
forum,כתם,28
forum,מקום,28
forum,משמעותי,28
forum,נוטל,28
forum,פציעה,28
forum,קליני,28
forum,שינוי,28
forum,+,27
forum,אפשרי,27
forum,בא,27
forum,ירידה,27
forum,כולל,27
forum,כללי,27
forum,מותר,27
forum,מטרה,27
forum,נמצא,27
forum,סוכר,27
forum,"ע""י",27
forum,ענה,27
forum,עניין,27
forum,קורה,27
forum,רוב,27
forum,הראה,26
forum,ממש,26
forum,נטלו,26
forum,פשוט,26
forum,"ביה""ח",25
forum,הפסיק,25
forum,חדר,25
forum,חיפה,25
forum,יוצא,25
forum,כנס,25
forum,מכון,25
forum,מציע,25
forum,סיפק,25
forum,ספיגה,25
forum,עובד,25
forum,קצת,25
forum,אנטיביוטיקה,24
forum,בו,24
forum,בחינה,24
forum,בלבד,24
forum,גילה,24
forum,התייעץ,24
forum,ידוע,24
forum,כמובן,24
forum,לילה,24
forum,נשירה,24
forum,צורה,24
forum,רמה,24
forum,שיטה,24
forum,שלמה,24
forum,תוכלי,24
forum,אדום,23
forum,אשר,23
forum,בל,23
forum,ברוך,23
forum,בשר,23
forum,הפנה,23
forum,טופל,23
forum,מחלקה,23
forum,מטופל,23
forum,מסגרת,23
forum,מפרק,23
forum,מקצועי,23
forum,ניסה,23
forum,סוכרתית,23
forum,עדשה,23
forum,קופה,23
forum,קל,23
forum,רצוי,23
forum,שמע,23
forum,תומך,23
forum,תזונתי,23
forum,אבץ,22
forum,אומגה,22
forum,באמצעות,22
forum,בוגר,22
forum,בוקר,22
forum,בירור,22
forum,בירר,22
forum,גרד,22
forum,הכשיר,22
forum,הכשרה,22
forum,ימין,22
forum,כנראה,22
forum,מיוחד,22
forum,נובע,22
forum,ניסיון,22
forum,סיכון,22
forum,עצה,22
forum,ציין,22
forum,שמן,22
forum,אקדמי,21
forum,ביקש,21
forum,בערך,21
forum,המלצה,21
forum,חוליה,21
forum,ייעץ,21
forum,יצא,21
forum,כואב,21
forum,מגע,21
forum,מים,21
forum,מקצוע,21
forum,סבון,21
forum,עודף,21
forum,עוסק,21
forum,פרטי,21
forum,שוב,21
forum,שלב,21
forum,תהליך,21
forum,תחושה,21
forum,אובחן,20
forum,בעלה,20
forum,ברך,20
forum,דורי,20
forum,דקה,20
forum,המשיך,20
forum,חולשה,20
forum,חזה,20
forum,מגנזיום,20
forum,מענה,20
forum,משך,20
forum,עוזר,20
forum,צריכה,20
forum,שכיח,20
forum,תמיד,20
forum,אומר,19
forum,אנא,19
forum,די,19
forum,התאים,19
forum,זיהום,19
forum,חוזר,19
forum,טל,19
forum,למרות,19
forum,לפי,19
forum,משהו,19
forum,נוער,19
forum,נקרא,19
forum,סייע,19
forum,פולית,19
forum,פחות,19
forum,קשת,19
forum,תווך,19
forum,אסף,18
forum,בעל,18
forum,בריטי,18
forum,הדרכה,18
forum,המשך,18
forum,התמחות,18
forum,יועצת,18
forum,יעקב,18
forum,ל,18
forum,לב,18
forum,מיפוי,18
forum,מניע,18
forum,מקווה,18
forum,מרובה,18
forum,מרשם,18
forum,נוצר,18
forum,נשאר,18
forum,ספורט,18
forum,ענן,18
forum,קרנית,18
forum,רשת,18
forum,שירות,18
forum,שקל,18
forum,בעזרת,17
forum,בעקבות,17
forum,דוגמה,17
forum,דיאטנית,17
forum,הועיל,17
forum,הכיר,17
forum,הפרעה,17
forum,הקל,17
forum,השפעה,17
forum,חזר,17
forum,חיוני,17
forum,ידע,17
forum,כתף,17
forum,לווה,17
forum,לייזר,17
forum,למה,17
forum,מאמץ,17
forum,מידע,17
forum,מעוניין,17
forum,מרגיש,17
forum,נאמר,17
forum,נגרם,17
forum,נמוך,17
forum,נעשה,17
forum,סידן,17
forum,סיום,17
forum,סרטן,17
forum,עיניים,17
forum,עמוד,17
forum,עצב,17
forum,פנייה,17
forum,פקולטה,17
forum,פרק,17
forum,צער,17
forum,קודם,17
forum,רגע,17
forum,רואה,17
forum,שדרה,17
forum,שום,17
forum,שוק,17
forum,שימש,17
forum,תינוק,17
forum,תרופתי,17
forum,אדם,16
forum,בכיר,16
forum,גלוטן,16
forum,דנה,16
forum,הוליסטי,16
forum,הכי,16
forum,הנהלה,16
forum,הניח,16
forum,הציע,16
forum,הרה,16
forum,ו,16
forum,חיזוק,16
forum,יובש,16
forum,יומי,16
forum,יחד,16
forum,מקביל,16
forum,מתחת,16
forum,נוגע,16
forum,ניתן,16
forum,נמנע,16
forum,נעלם,16
forum,נקודה,16
forum,"ס""מ",16
forum,סדרה,16
forum,סוף,16
forum,קבוע,16
forum,רציתי,16
forum,שמאל,16
forum,שרון,16
forum,שתייה,16
forum,תומכת,16
forum,תחילה,16
forum,אגן,15
forum,אינני,15
forum,ארוחה,15
forum,ארץ,15
forum,בבקשה,15
forum,דחוף,15
forum,הבין,15
forum,היכן,15
forum,הפריע,15
forum,טכניקה,15
forum,לקח,15
forum,מונע,15
forum,מכיל,15
forum,"ק""ג",15
forum,קביעות,15
forum,ראייה,15
forum,רנטגן,15
forum,שמש,15
forum,שני,15
forum,תיאור,15
forum,אבקה,14
forum,אלכוהול,14
forum,בולט,14
forum,ביתי,14
forum,בריא,14
forum,גבר,14
forum,דרמטיטיס,14
forum,הוסמך,14
forum,הייתי,14
forum,הפחית,14
forum,התאמה,14
forum,התפתחות,14
forum,חבר,14
forum,חלב,14
forum,טיפולי,14
forum,ייעוץ,14
forum,ינסנג,14
forum,לוינגר,14
forum,לימד,14
forum,מאוזן,14
forum,מזרן,14
forum,מלא,14
forum,מלאה,14
forum,מספיק,14
forum,מתבגר,14
forum,נזק,14
forum,עין,14
forum,קיבה,14
forum,קרם,14
forum,ראה,14
forum,רונית,14
forum,ריטלין,14
forum,שיקום,14
forum,תה,14
forum,–,14
forum,אי,13
forum,אילה,13
forum,אישור,13
forum,אישי,13
forum,בטן,13
forum,בי,13
forum,הליכה,13
forum,הנחה,13
forum,הקפיד,13
forum,התכווצות,13
forum,חד,13
forum,יועד,13
forum,ילדה,13
forum,ירד,13
forum,כאן,13
forum,כפה,13
forum,כתבה,13
forum,למעלה,13
forum,לקראת,13
forum,לשון,13
forum,מנחה,13
forum,מתי,13
forum,נא,13
forum,נבע,13
forum,נגד,13
forum,נדרש,13
forum,סבל,13
forum,סימן,13
forum,עברי,13
forum,עייפות,13
forum,עקמת,13
forum,פורסם,13
forum,קורא,13
forum,קיימת,13
forum,קרא,13
forum,רופאה,13
forum,שיפר,13
forum,תלוי,13
forum,א,12
forum,אוזון,12
forum,אחות,12
forum,אסור,12
forum,אצבע,12
forum,ארך,12
forum,בדיוק,12
forum,"בי""ס",12
forum,בלוטת,12
forum,בני,12
forum,גופנית,12
forum,האינטרנט,12
forum,הבדל,12
forum,הדסה,12
forum,הוסיף,12
forum,העלה,12
forum,הפסקה,12
forum,הפרשה,12
forum,הצליח,12
forum,הקים,12
forum,השיג,12
forum,השלים,12
forum,התעמלות,12
forum,התקיים,12
forum,חום,12
forum,חמור,12
forum,חסר,12
forum,יחסי,12
forum,"כ""כ",12
forum,כבד,12
forum,כושר,12
forum,כלי,12
forum,כפי,12
forum,לבן,12
forum,מדי,12
forum,מדעי,12
forum,מדריך,12
forum,מוגבר,12
forum,מוכר,12
forum,מופיע,12
forum,מיכל,12
forum,מנעה,12
forum,מעבר,12
forum,מערכה,12
forum,משמעות,12
forum,משתתף,12
forum,נבדק,12
forum,נוזל,12
forum,ניקוי,12
forum,נמשך,12
forum,נעל,12
forum,נשמע,12
forum,סיכוי,12
forum,עבור,12
forum,עולה,12
forum,עולם,12
forum,עמיחי,12
forum,ערך,12
forum,עשוי,12
forum,קצר,12
forum,שבר,12
forum,שיקומי,12
forum,שליש,12
forum,תעודה,12
forum,תפריט,12
forum,=,11
forum,אומנם,11
forum,אכילה,11
forum,אנמיה,11
forum,"ביה""ס",11
forum,במקום,11
forum,בקרב,11
forum,גרמה,11
forum,דומה,11
forum,הגבלה,11
forum,הופיע,11
forum,השתפר,11
forum,התמחה,11
forum,ודאי,11
forum,חודשי,11
forum,חל,11
forum,חתונה,11
forum,טווח,11
forum,ייצר,11
forum,יכולים,11
forum,ישיבה,11
forum,כיצד,11
forum,כמעט,11
forum,לוואי,11
forum,לחות,11
forum,לפחות,11
forum,לקיחה,11
forum,מבוגר,11
forum,מדובר,11
forum,מול,11
forum,מושג,11
forum,מישהו,11
forum,מרבית,11
forum,מרח,11
forum,נוח,11
forum,נטייה,11
forum,סבא,11
forum,סביבה,11
forum,עיסוי,11
forum,פנימי,11
forum,צמיחה,11
forum,ראשית,11
forum,ריכוז,11
forum,רצון,11
forum,תנאי,11
forum,##מין,10
forum,אבחנה,10
forum,אורטופד,10
forum,באמת,10
forum,בדק,10
forum,בעז,10
forum,גירוי,10
forum,הגנה,10
forum,הוראה,10
forum,הורה,10
forum,הלכה,10
forum,השפיע,10
forum,השתנה,10
forum,התנסות,10
forum,התקשרות,10
forum,חלון,10
forum,חש,10
forum,טלי,10
forum,כירורגיה,10
forum,ככל,10
forum,כעת,10
forum,לזה,10
forum,לחלוטין,10
forum,ליולדת,10
forum,מולטי,10
forum,מוסד,10
forum,מוסמך,10
forum,מידה,10
forum,מין,10
forum,מכיוון,10
forum,ממצא,10
forum,מעקב,10
forum,מצח,10
forum,משקפיים,10
forum,מתגורר,10
forum,נעה,10
forum,סביב,10
forum,סיים,10
forum,סיימה,10
forum,עליון,10
forum,פונה,10
forum,פיזיותרפיה,10
forum,צבע,10
forum,צלע,10
forum,צלקת,10
forum,צעיר,10
forum,קוסמטיקאית,10
forum,קרן,10
forum,קרסול,10
forum,רזה,10
forum,שוטף,10
forum,שומן,10
forum,שמירה,10
forum,שפה,10
forum,תוכנית,10
forum,תור,10
forum,תפקוד,10
forum,תריס,10
forum,תת,10
forum,%,9
forum,אבחון,9
forum,אביב,9
forum,באר,9
