Sub_Category,Lemma,Count
haaretz,של,20710
haaretz,את,16569
haaretz,הוא,12341
haaretz,על,10903
haaretz,לא,8157
haaretz,=,7391
haaretz,זה,6691
haaretz,היי,5575
haaretz,כי,4887
haaretz,/,4627
haaretz,חברה,4491
haaretz,שנה,3999
haaretz,עם,3893
haaretz,גם,3591
haaretz,אחרון,3545
haaretz,ב,2911
haaretz,יום,2907
haaretz,בית,2732
haaretz,יותר,2696
haaretz,ממשלה,2476
haaretz,כל,2462
haaretz,%,2375
haaretz,אם,2332
haaretz,או,2328
haaretz,ישראל,2298
haaretz,כך,2277
haaretz,עדכון,2112
haaretz,בין,2058
haaretz,אני,1964
haaretz,אמר,1914
haaretz,כול,1898
haaretz,דבר,1848
haaretz,שר,1842
haaretz,יש,1836
haaretz,שלושה,1725
haaretz,חוק,1649
haaretz,יד,1629
haaretz,עד,1614
haaretz,עבודה,1593
haaretz,לו,1582
haaretz,אבל,1570
haaretz,אחר,1568
haaretz,אין,1558
haaretz,דולר,1551
haaretz,חדש,1534
haaretz,רק,1525
haaretz,מיליון,1515
haaretz,אל,1504
haaretz,אלה,1497
haaretz,איש,1475
haaretz,ראשון,1472
haaretz,אחד,1459
haaretz,ראש,1450
haaretz,אתמול,1444
haaretz,לפני,1406
haaretz,רב,1368
haaretz,משרד,1329
haaretz,שרון,1329
haaretz,מה,1325
haaretz,מאת,1303
haaretz,מדינה,1285
haaretz,כדי,1282
haaretz,עוד,1273
haaretz,מניה,1263
haaretz,לאחר,1253
haaretz,גדול,1220
haaretz,קיבל,1217
haaretz,אך,1203
haaretz,שקל,1194
haaretz,ועדה,1193
haaretz,נוסף,1159
haaretz,ישראלי,1143
haaretz,בן,1138
haaretz,שבוע,1125
haaretz,משפט,1120
haaretz,כמה,1090
haaretz,חי,1065
haaretz,פה,1054
haaretz,כמו,1050
haaretz,חודש,1047
haaretz,עצם,1040
haaretz,דרך,1032
haaretz,אז,1028
haaretz,לי,1011
haaretz,היה,995
haaretz,מפלגה,969
haaretz,כנסת,967
haaretz,חבר,963
haaretz,עבר,960
haaretz,רשות,946
