Sub_Category,Lemma,Count
literary,של,36404
literary,את,35290
literary,הוא,26205
literary,על,17835
literary,היי,15246
literary,לא,15171
literary,זה,13380
literary,שנה,5728
literary,עם,5278
literary,או,5103
literary,יותר,5058
literary,גם,5052
literary,כל,4892
literary,אני,4840
literary,אל,4655
literary,כך,4610
literary,אבל,4464
literary,אם,4333
literary,כול,4255
literary,בין,4089
literary,לי,3998
literary,אחר,3951
literary,–,3875
literary,כי,3780
literary,לו,3729
literary,אלה,3502
literary,מה,3460
literary,חי,3295
literary,איש,3199
literary,עצם,3039
literary,יד,3033
literary,אחד,2992
literary,רב,2884
literary,דבר,2860
literary,בית,2827
literary,אמר,2733
literary,עד,2712
literary,רק,2692
literary,יום,2684
literary,כדי,2632
literary,דרך,2598
literary,שם,2502
literary,יש,2501
literary,אז,2351
literary,היה,2331
literary,כמו,2269
literary,עוד,2234
literary,עולם,2172
literary,זמן,2112
literary,בעל,2052
literary,גדול,2044
literary,אשר,2020
literary,שלושה,1999
literary,ראשון,1983
literary,אין,1953
literary,אדם,1859
literary,מלחמה,1848
literary,הגיע,1827
literary,חברה,1809
literary,פעם,1773
literary,נראה,1750
literary,טוב,1743
literary,מקום,1739
literary,חדש,1722
literary,פה,1722
literary,כבר,1695
literary,כמה,1665
literary,אישה,1639
literary,יכול,1637
literary,ראש,1622
literary,בל,1615
literary,ספר,1604
literary,חלק,1598
literary,ב,1582
literary,משפחה,1580
literary,אף,1579
literary,כן,1577
literary,יחס,1518
literary,אחרי,1511
literary,לפני,1509
literary,אי,1491
literary,בא,1481
literary,אינו,1476
literary,עשרה,1475
literary,מן,1455
literary,הון,1439
literary,לאחר,1415
literary,כלל,1399
literary,עת,1397
literary,אלא,1396
literary,צד,1379
literary,עבר,1373
literary,פנים,1368
literary,ילד,1351
literary,שונה,1348
literary,סרט,1324
literary,לה,1312
literary,עבודה,1303
literary,מאה,1287
literary,ה,1280
literary,שניים,1274
literary,עשה,1261
literary,אפשר,1260
literary,כאשר,1253
literary,ישראל,1239
literary,שעה,1235
literary,ג'ורג',1233
literary,כוח,1229
literary,רווח,1206
literary,קיבל,1197
literary,אך,1189
literary,אחת,1166
literary,קבוצה,1165
literary,כאן,1152
literary,ראה,1151
literary,חולה,1119
literary,תהליך,1103
literary,בני,1088
literary,מאוד,1085
literary,מי,1080
literary,אחרון,1079
literary,מצב,1079
literary,התחיל,1067
literary,הצליח,1060
literary,יכולת,1046
literary,קשר,1044
literary,אופן,1041
literary,חברתי,1026
literary,דיבר,1025
literary,עניין,1017
literary,’,1016
literary,מדינה,1006
literary,אב,998
literary,סוף,997
literary,קטן,990
literary,מחיר,972
literary,אפילו,969
literary,נתן,962
literary,נוסף,952
literary,רוצה,948
literary,הרבה,945
literary,רוב,939
literary,נמצא,930
literary,תקופה,921
literary,בן,919
literary,ערך,919
literary,אולי,915
literary,כתב,887
literary,מקרה,884
literary,אינדיאנים,882
literary,ישראלי,867
literary,מוות,867
literary,הראה,862
literary,שאלה,860
literary,קשה,851
literary,יודע,850
literary,פוליטי,847
literary,שום,846
literary,קרוב,844
literary,סיפר,841
literary,ידע,840
literary,עדיין,840
literary,צורך,840
literary,חדר,832
literary,עכשיו,829
literary,שפה,824
literary,עמד,822
literary,הביא,817
literary,אינפלציה,814
literary,כפי,813
literary,רגע,810
literary,כמעט,809
literary,הורה,807
literary,דעת,805
literary,ללא,805
literary,נעשה,805
literary,באמצעות,804
literary,לב,801
literary,המשיך,793
literary,הנה,793
literary,שוב,790
literary,נפט,788
literary,מספר,780
literary,בתוך,779
literary,צריך,775
literary,מחקר,767
literary,חירש,760
literary,חבר,757
literary,תמיד,757
literary,מתוך,756
literary,משהו,755
literary,יהודי,747
literary,מילה,744
literary,אנגלי,739
literary,קודם,738
literary,מוסלמי,734
literary,שינוי,733
literary,בו,731
literary,עקר,730
literary,מת,727
literary,עזרה,727
literary,גבר,724
literary,יצא,720
literary,שיעור,720
literary,חשוב,718
literary,הניח,717
literary,משום,715
literary,ניסה,712
literary,ביקש,707
literary,תחילה,707
literary,לכן,704
literary,גבוה,703
literary,אצל,701
literary,נכנס,700
literary,משק,698
literary,עסק,696
literary,נגד,694
literary,אולם,689
literary,בת,680
literary,חייל,680
literary,ברור,677
literary,עלה,674
literary,נושא,671
literary,יוכל,667
literary,בעיה,666
literary,פחות,664
literary,ארבעה,656
literary,ייצור,650
literary,פשוט,646
literary,אומר,644
literary,רוח,639
literary,נשק,637
literary,סיפור,637
literary,אמריקני,635
literary,מהלך,632
literary,רגל,630
literary,ממשלה,628
literary,גורם,626
literary,גילה,626
literary,צורה,625
literary,קול,625
literary,עובד,624
literary,רופא,624
literary,שליטה,615
literary,לפי,609
literary,שוק,604
literary,השתמש,603
literary,דם,602
literary,נשאר,600
literary,חסר,598
literary,תרבות,596
literary,די,593
literary,דומה,591
literary,החל,591
literary,מצא,590
literary,שמע,585
literary,עובדה,583
literary,ליאה,582
literary,תוצאה,578
literary,ערב,577
literary,סיבה,576
literary,קהילה,576
literary,תחום,574
literary,שבט,572
literary,חמישה,571
literary,תפקיד,571
literary,אזור,567
literary,לילה,567
literary,מסוים,567
literary,שירות,567
literary,%,566
literary,סימן,565
literary,תוכנית,562
literary,כלכלי,561
literary,חייב,557
literary,מקור,557
literary,שש,557
literary,חצי,554
literary,יחידה,554
literary,מעט,554
literary,"ארה""ב",553
literary,חזר,549
literary,חודש,548
literary,חשב,547
literary,נכון,543
literary,נותר,541
literary,קצר,537
literary,ניהל,535
literary,סוג,533
literary,הכיר,531
literary,בחינה,530
literary,ביניים,530
literary,מערכה,530
literary,רץ,519
literary,כאילו,516
literary,אמצע,515
literary,הבין,515
literary,מזרח,515
literary,שבוע,515
literary,תושב,514
literary,דלת,511
literary,ארגון,509
literary,מחלה,509
literary,מעבר,509
literary,מציאות,506
literary,ככל,502
literary,מישהו,502
literary,מעמד,500
literary,פתח,499
literary,קל,499
literary,סביב,497
literary,למרות,495
literary,מטרה,495
literary,דוגמה,494
literary,כלכלה,494
literary,מרכזי,493
literary,תנועה,493
literary,לפחות,492
literary,ניתן,492
literary,קצת,491
literary,צעיר,490
literary,צבא,489
literary,איך,488
literary,אח,487
literary,מרכז,486
literary,התנהגות,485
literary,כה,485
literary,דולר,484
literary,מבט,484
literary,כלומר,483
literary,ניסיון,481
literary,כיצד,479
literary,ממשל,477
literary,עומד,476
literary,שימש,476
literary,כפר,475
literary,הוביל,474
literary,החליט,473
literary,צבאי,473
literary,רמה,473
literary,במשך,472
literary,מבנה,470
literary,פעולה,470
literary,שר,469
literary,אישי,468
literary,ביטחון,468
literary,אור,466
literary,בלבד,466
literary,דובר,466
literary,טיפול,461
literary,אדמה,459
literary,עשוי,459
literary,מים,458
literary,עלייה,456
literary,חוק,449
literary,הכנסה,447
literary,ים,447
literary,זר,446
literary,יחד,446
literary,תאוריה,445
literary,בקרב,443
literary,כסף,443
literary,בגלל,442
literary,ניו,442
literary,שיטה,442
literary,היינו,441
literary,מעשה,440
literary,עמ',439
literary,רותם,438
literary,אנושי,437
literary,יתר,436
literary,ניצב,436
literary,שימוש,436
literary,תפיסה,436
literary,חוץ,435
literary,תחושה,435
literary,לאומי,434
literary,עיר,434
literary,פיליפ,433
literary,קרא,433
literary,מכונית,430
literary,אתר,429
literary,קשור,429
literary,*,428
literary,אמונה,428
literary,אילו,427
literary,הפך,427
literary,חוקר,427
literary,ספק,427
literary,עושה,427
literary,פרט,427
literary,תמונה,427
literary,ארץ,426
literary,לבן,426
literary,המונג,425
literary,מיד,425
literary,יוצא,424
literary,”,424
literary,שאר,423
literary,תווך,423
literary,משרד,422
literary,קו,422
literary,תקווה,422
literary,מר,421
literary,איזה,420
literary,בשר,419
literary,למען,418
literary,אכן,416
literary,בנק,416
literary,בידי,415
literary,פרק,415
literary,בפני,414
literary,הסביר,413
literary,הנהיג,410
literary,אמור,409
literary,בעקבות,409
literary,קבוץ,408
literary,שלום,407
literary,רצון,406
literary,ון,405
literary,אינה,404
literary,העלה,403
literary,מונג,402
literary,במקום,401
literary,מדי,401
literary,מסוגל,401
literary,חש,400
literary,נחשב,400
literary,בוקר,398
literary,אוליבר,397
literary,בדיוק,397
literary,רואה,397
literary,שני,395
literary,תרומה,395
literary,נפש,394
literary,שלב,394
literary,ידוע,393
literary,חושב,392
literary,כמובן,392
literary,עתיד,392
literary,אומנם,391
literary,מידע,391
literary,עבור,391
literary,טען,390
literary,לעומת,390
literary,סיפק,390
literary,אמריקה,387
literary,ישב,387
literary,רחב,385
literary,כלי,384
literary,מדוע,384
literary,מנהיג,383
literary,הוציא,382
literary,הציג,382
literary,התפתחות,382
literary,שינה,381
literary,כנראה,380
literary,לבד,380
literary,ממש,380
literary,שיחה,379
literary,הרי,378
literary,כללי,376
literary,למעשה,376
literary,משמעות,376
literary,שולחן,376
literary,כלשהו,375
literary,שחור,375
literary,תמורה,375
literary,אוכל,373
literary,מפני,373
literary,נוצר,372
literary,נקודה,372
literary,דת,371
literary,כלפי,371
literary,מקומי,370
literary,עמדה,370
literary,האמין,369
literary,משטר,369
literary,מוסד,367
literary,ברית,366
literary,קרב,366
literary,אלעד,364
literary,ודאי,364
literary,אחוז,363
literary,היסטוריה,363
literary,משל,363
literary,דווקא,362
literary,מניה,361
literary,תופעה,361
literary,עתה,360
literary,תרופה,360
literary,כולל,359
literary,עובר,359
literary,מדיניות,358
literary,נתון,358
literary,אפשרות,357
literary,הלכה,357
literary,יחיד,356
literary,מול,356
literary,דירה,355
literary,מערבי,355
literary,פעילות,353
literary,רע,353
literary,גישה,352
literary,חקירה,351
literary,אירוע,349
literary,ל,349
literary,קיים,349
literary,ציפה,348
literary,גופה,346
literary,לגבי,346
literary,קרה,346
literary,בחירה,345
literary,ביטוי,345
literary,מאחורי,345
literary,משפט,345
literary,חוסר,344
literary,מין,344
literary,סדר,344
literary,תלוי,344
literary,נאלץ,343
literary,ביקר,342
literary,מאמר,342
literary,סתם,342
literary,אמריקאי,341
literary,בעזרת,340
literary,השקעה,339
literary,מיליון,339
literary,קפיטליסטי,339
literary,אלוהים,338
literary,זכות,338
literary,באמת,337
literary,תנאי,337
literary,מסע,336
literary,אורח,335
literary,נכס,334
literary,ענף,334
literary,אש,332
literary,יצירה,332
literary,מכירה,332
literary,עמוק,331
literary,שכר,331
literary,השפעה,330
literary,מיהר,330
literary,מכתב,330
literary,משטרה,330
literary,לקוח,329
literary,ביצע,328
literary,התיישב,328
literary,שטח,328
literary,מוכן,326
literary,הסבר,325
literary,כבד,325
literary,קייט,324
literary,אהבה,323
literary,ארך,323
literary,עורר,323
literary,חזק,322
literary,לפעמים,321
literary,עלול,321
literary,השתנה,320
literary,טיפל,320
literary,ירד,320
literary,אמת,319
literary,מנהיגות,319
literary,נמנע,319
literary,שלטון,319
literary,עיקרי,318
literary,נולד,317
literary,ברדפורד,316
literary,חומר,316
literary,כמות,315
literary,דוד,314
literary,כותב,314
literary,מחשבה,314
literary,תלמיד,313
literary,היות,312
literary,חלוקה,311
literary,צריכה,311
literary,שישה,311
literary,תיכון,311
literary,הופיע,310
literary,העביר,310
literary,מפרץ,310
literary,נהג,310
literary,נהר,310
literary,תחת,309
literary,החלטה,308
literary,גדל,307
literary,לוחם,307
literary,עולה,307
literary,אחות,306
literary,אמיתי,306
literary,בטוח,306
literary,בי,306
literary,טענה,306
literary,מיטה,306
literary,מסגרת,306
literary,בסיס,304
literary,השיב,304
literary,למד,304
literary,השיג,303
literary,מהירות,303
literary,מכונה,303
literary,תעשייה,303
literary,דרום,302
literary,גרמני,301
literary,העניק,301
literary,מוצא,301
literary,מידה,301
literary,צופה,301
literary,קצין,301
literary,הצלחה,300
literary,מאוחר,300
literary,סביבה,300
literary,פרטי,300
literary,גיל,299
literary,חזרה,299
literary,ייתכן,299
literary,{,298
literary,בעלות,298
literary,מנסה,298
literary,פעל,298
literary,},297
literary,הרגיש,297
literary,מיוחד,297
literary,עוצמה,297
literary,כנסייה,296
literary,מופיע,296
literary,נמוך,296
literary,ראוי,296
literary,דומיננטי,295
literary,עיתון,295
literary,שעבד,295
literary,הבטיח,294
literary,נעלם,293
literary,שיער,293
literary,קפיטליזם,292
literary,תשובה,292
literary,כיוון,291
literary,זיכרון,290
literary,מהיר,290
literary,מושג,290
literary,מחנה,290
literary,טקס,289
literary,נשמע,289
literary,פיקד,288
literary,אוכלוסייה,287
literary,דמות,287
literary,הלך,287
literary,אוויר,286
literary,זכה,286
literary,יוצר,286
literary,יער,286
literary,מתאר,286
literary,נאו,286
literary,הוראה,285
literary,ישיר,285
literary,גידול,283
literary,ילדה,281
literary,עסקי,281
literary,קולנוע,281
literary,חדשה,280
literary,לתוך,280
literary,מלא,280
literary,פלי,280
literary,חשיבות,279
literary,יחסי,279
literary,סבל,279
literary,סמוך,279
literary,תיאר,279
literary,גולה,278
literary,יסוד,278
literary,הנחה,277
literary,הציע,277
literary,בשביל,276
literary,גבול,276
literary,נזכר,276
literary,טבעי,275
literary,כינה,275
literary,עץ,275
literary,שאל,275
literary,פועל,274
literary,איבד,273
literary,היטב,273
literary,קורא,273
literary,לימוד,272
literary,שותף,272
literary,החזיק,271
literary,מודל,271
literary,מתאים,271
literary,בעלה,270
literary,רשת,270
literary,התכוון,269
literary,ציין,269
literary,שיר,269
literary,תאגיד,269
literary,ארוחה,268
literary,בולט,268
literary,דיפרנציאלי,268
literary,משך,268
literary,המשך,267
literary,ידיעה,267
literary,לקח,267
literary,קצה,267
literary,שמונה,267
literary,כ,266
literary,מושבה,266
literary,הבחין,265
literary,טבע,265
literary,טוען,265
literary,רצח,265
literary,דקה,264
literary,מחוץ,264
literary,רגש,264
literary,לשון,263
literary,צמיחה,263
literary,שקט,263
literary,אופי,262
literary,מסורתי,262
literary,עור,262
literary,שד,262
literary,אינטרס,261
literary,הוצאה,261
literary,כעבור,261
literary,רפואי,261
literary,לימד,260
literary,צפון,260
literary,תקשורת,260
literary,תינוק,259
literary,תיק,259
literary,מחר,258
literary,נערך,258
literary,פינה,258
literary,“,258
literary,השתתף,257
literary,סך,257
literary,זרוע,256
literary,קיר,255
literary,מאפשר,254
literary,רשות,254
literary,רשימה,254
literary,תעשייתי,254
literary,מוסרי,253
literary,גזע,252
literary,חמישים,252
literary,עוסק,252
literary,נובע,251
literary,נלחם,250
literary,נסע,250
literary,רעיון,250
literary,תאונה,250
literary,תגובה,250
literary,מזון,249
literary,מרחק,249
literary,הזדמנות,248
literary,נפל,248
literary,צעד,248
literary,גוף,247
literary,ידעו,247
literary,כאב,247
literary,צרפתי,247
literary,אינגלנד,246
literary,נדרש,246
literary,ניתוח,246
literary,מתחת,245
literary,עזב,245
literary,הזכיר,244
literary,ירידה,244
literary,נשמה,244
literary,שמנה,244
literary,אודות,243
literary,העיד,243
literary,משבר,243
literary,פתרון,243
literary,הצביע,242
literary,מאחר,242
literary,מגיע,242
literary,בחר,241
literary,גרמנייה,241
literary,הגיד,241
literary,ערבי,241
literary,אסלאם,240
literary,נייר,240
literary,אוניברסיטה,239
literary,מחוז,239
literary,נוהג,239
literary,אלטרוא,238
literary,דור,238
literary,כגון,238
literary,ציפייה,238
literary,בדיקה,237
literary,בעין,237
literary,הרכיב,237
literary,מוח,237
literary,סרבי,237
literary,עיירה,237
literary,חלון,236
literary,לעבר,236
literary,מרבית,236
literary,נאמר,236
literary,אביב,235
literary,הבדל,235
literary,חשבון,235
literary,שב,235
literary,הייתי,234
literary,חד,234
literary,מאמץ,233
literary,קרקע,233
literary,תיאור,233
literary,חוף,232
literary,חיפש,232
literary,מערב,232
literary,שדה,232
literary,דתי,231
literary,השאיר,231
literary,ייצר,231
literary,מוצר,231
literary,מורה,231
literary,ניכר,231
literary,דן,230
literary,יפה,230
literary,מספיק,230
literary,הביט,229
literary,בסדר,228
literary,הכרה,228
literary,הסתכל,228
literary,כבוד,228
literary,מניע,228
literary,משותף,228
literary,נודע,228
literary,פנה,228
literary,רחוב,228
literary,ועדה,227
literary,זקן,227
literary,טלפון,227
literary,כלב,227
literary,שרטוט,227
literary,נועד,226
literary,נקרא,226
literary,אומנות,225
literary,לחלוטין,225
literary,מאמין,225
literary,סייע,225
literary,צר,225
literary,/,224
literary,רחוק,224
literary,משמעותי,223
literary,שואה,223
literary,מילא,222
literary,למה,221
literary,זוג,220
literary,לגמרי,220
literary,מבין,220
literary,נאצי,220
literary,גב,219
literary,תכונה,219
literary,אוהב,218
literary,חזיר,218
literary,כיסא,218
literary,מבוסס,218
literary,נפרד,218
literary,פגישה,218
literary,שירת,218
literary,שלח,218
literary,בריטי,217
literary,החליף,217
literary,טכנולוגיה,217
literary,טעם,217
literary,פלישה,217
literary,הצטרף,216
literary,דוקטור,215
literary,התייחס,215
literary,אפשרי,214
literary,טלוויזיה,214
literary,פחד,214
literary,אצבע,213
literary,חיה,213
literary,צוות,213
literary,ממוצע,212
literary,ניסוי,212
literary,נמשך,212
literary,עצמי,212
literary,שורה,212
literary,שלם,212
literary,אמה,211
literary,כעת,211
literary,מאבק,211
literary,מוקדם,211
literary,מפתח,211
literary,],210
literary,הבנה,210
literary,עדות,210
literary,מסקנה,209
literary,קוטג',209
literary,התברר,208
literary,חבל,208
literary,יצור,208
literary,כוונה,208
literary,לבש,208
literary,ממשלתי,208
literary,מקביל,208
literary,קריאה,208
literary,ראשית,208
literary,—,208
literary,אירופה,207
literary,בקר,207
literary,הצבר,207
literary,ציבור,207
literary,קוד,207
literary,רשמי,207
literary,ביקור,206
literary,הלכו,206
literary,אזרח,205
literary,גורל,205
literary,הודה,205
literary,לפתע,205
literary,מלך,205
literary,נביא,205
literary,צפוי,205
literary,קבוע,205
literary,קיום,205
literary,שמיר,205
literary,תואר,205
literary,אויב,204
literary,הרג,204
literary,מדע,204
literary,מביא,203
literary,מס,203
literary,פתוח,203
literary,תרבותי,203
literary,בוסניה,202
literary,בניגוד,202
literary,בריאות,202
literary,מאת,202
literary,קבע,202
literary,קילומטר,202
literary,מחשב,201
literary,אחור,200
literary,וינס,200
literary,יישוב,200
literary,מעלה,200
literary,נוגע,200
literary,נוכח,200
literary,פגש,200
literary,קושי,200
literary,שומע,200
literary,שמות,200
literary,בנטון,199
literary,מדד,199
literary,נפגש,199
literary,פנימי,199
literary,הכי,198
literary,כתף,198
literary,ניגש,198
literary,עודף,198
literary,רובה,198
literary,בגד,197
literary,חג,197
literary,מפעל,197
literary,מקצועי,197
literary,אנגלייה,196
literary,במידה,196
literary,ישן,196
literary,מסר,196
literary,מעין,196
literary,מפלגה,196
literary,הסטורי,195
literary,לונדון,195
literary,קנה,195
literary,הוצג,194
literary,הצליינים,194
literary,התקיים,194
literary,מוכר,194
literary,גל,193
literary,מונח,193
literary,קדוש,193
literary,קלאסי,193
literary,שילם,193
literary,הונח,192
literary,חיפוש,192
literary,חיצוני,192
literary,לקחו,192
literary,מזל,192
literary,מצוי,192
literary,קהל,192
literary,רכש,192
literary,ארוך,191
literary,כלכלן,191
literary,ניצול,191
literary,עולמי,191
literary,פסיכולוגי,191
literary,תחרות,191
literary,[,190
literary,גרם,190
literary,ייצג,190
literary,צ',190
literary,שכבה,190
literary,התנדב,189
literary,נישואים,189
