Sub_Category,Lemma,Count
medical,של,3215
medical,את,2855
medical,הוא,2323
medical,אם,2320
medical,על,2233
medical,יש,1872
medical,לא,1823
medical,זה,1778
medical,אני,1630
medical,בדיקה,1435
medical,טיפול,1416
medical,לי,1320
medical,או,1298
medical,כאב,1113
medical,רופא,1065
medical,תרופה,986
medical,עם,925
medical,מחלה,830
medical,מה,795
medical,גם,756
medical,יום,752
medical,היי,741
medical,דר,724
medical,דם,706
medical,אין,693
medical,לאחר,674
medical,היריון,639
medical,יכול,607
medical,יותר,597
medical,שנה,593
medical,בעיה,582
medical,כל,571
medical,/,531
medical,מצב,523
medical,נתן,510
medical,דרך,503
medical,לפני,498
medical,נוסף,473
medical,אך,456
medical,כן,438
medical,זמן,433
medical,יד,432
medical,ניתוח,428
medical,שבוע,427
medical,סובל,424
medical,כמו,421
medical,אצל,418
medical,בין,417
medical,כול,415
medical,עשה,415
medical,תופעה,415
medical,גורם,414
medical,דלקת,402
medical,חולה,400
medical,כך,397
medical,אלה,392
medical,מקרה,390
medical,סיבה,389
medical,מאוד,384
medical,קיבל,384
medical,חודש,381
medical,משפחה,372
medical,אחר,358
medical,כלל,357
medical,רמה,341
medical,תוצאה,339
medical,לכן,324
medical,תקין,323
medical,עבר,322
medical,ברכה,321
medical,רב,319
medical,עוד,318
medical,כי,317
medical,גיל,315
medical,צורך,312
medical,מומלץ,305
medical,עד,305
medical,רפואה,300
medical,אזור,297
medical,נמצא,296
medical,פעילות,294
medical,המליץ,293
medical,סוג,293
medical,עצם,290
medical,לב,289
medical,ביצע,287
medical,כדי,286
medical,טיפל,285
medical,דבר,279
medical,רק,277
medical,שתן,277
medical,שריר,270
medical,מחזור,264
medical,אחרון,261
medical,פעם,260
medical,אבל,251
medical,התחיל,250
medical,ללא,248
medical,לחץ,246
medical,גבוה,245
medical,גוף,245
medical,כמה,245
medical,פה,244
medical,שימוש,243
medical,אחרי,242
medical,אינו,240
medical,מין,239
medical,בית,233
medical,גב,233
medical,קשר,230
medical,אישה,228
medical,כבר,227
medical,כדור,227
medical,עובר,226
medical,רגל,223
medical,שונה,223
medical,בטן,222
medical,שאלה,221
medical,אשר,219
medical,היה,217
medical,שלושה,214
medical,משקל,209
medical,הגלולה,207
medical,יכולת,207
medical,ה,206
medical,ארוך,205
medical,מקום,205
medical,דימום,202
medical,אופן,201
medical,שינוי,200
medical,מספר,198
medical,סימפטום,196
medical,כאשר,195
medical,עת,193
medical,ייתכן,192
medical,לגבי,192
medical,פיזיותרפיה,191
medical,ממצא,187
medical,ילד,184
medical,יחס,181
medical,יתר,181
medical,כבד,181
medical,עדיין,181
medical,אז,178
medical,בת,178
medical,עלול,178
medical,חשוב,177
medical,סיכון,177
medical,קשה,177
medical,טוב,174
medical,מנת,173
medical,אכן,171
medical,אפשר,171
medical,גידול,170
medical,צריך,168
medical,חומר,167
medical,תפקוד,167
medical,משה,166
medical,ניסה,165
medical,תשובה,164
medical,בירור,161
medical,גופנית,161
medical,תסמין,161
medical,השתמש,160
medical,נמוך,159
medical,ספורט,159
medical,חצי,158
medical,קל,158
medical,ראשון,158
medical,שעה,158
medical,חי,156
medical,סרטן,154
medical,אף,153
medical,אספירין,152
medical,ברך,152
medical,לפי,152
medical,פינה,152
medical,חלק,151
medical,נטילה,151
medical,רפואי,151
medical,דיסק,150
medical,בריאות,148
medical,חיידק,148
medical,מניע,148
medical,עור,147
medical,אחד,146
medical,פיזיותרפיסט,145
medical,אינה,144
medical,דובר,144
medical,הנה,143
medical,כדאי,143
medical,קיים,142
medical,רוצה,141
medical,איש,140
medical,נכון,140
medical,ערך,140
medical,קטן,140
medical,בל,139
medical,נראה,139
medical,המשיך,138
medical,אוכל,137
medical,אנטיביוטיקה,137
medical,בא,137
medical,בן,137
medical,עלייה,137
medical,אבחנה,136
medical,אפשרות,136
medical,הראה,136
medical,ידעו,136
medical,ירידה,136
medical,צוואר,136
medical,צילום,136
medical,כגון,135
medical,יוכל,134
medical,סיכוי,134
medical,כלומר,133
medical,נעמה,133
medical,רבין,133
medical,אתר,132
medical,סוכרת,132
medical,עקב,132
medical,איזה,131
medical,דעת,130
medical,ניגש,130
medical,לו,129
medical,לוואי,128
medical,אולטרסאונד,127
medical,אלא,127
medical,חום,127
medical,מערכה,127
medical,שם,127
medical,תנועה,127
medical,במשך,126
medical,מידע,126
medical,רחם,126
medical,מהלך,125
medical,ניתן,125
medical,אדם,124
medical,אמר,124
medical,בגלל,124
medical,מומחה,124
medical,מתמחה,124
medical,ב,123
medical,בלוטת,123
medical,הפרעה,123
medical,לקחו,123
medical,%,122
medical,משך,122
medical,כולל,121
medical,מופיע,121
medical,תהליך,121
medical,עקר,120
medical,צריכה,120
medical,כללי,119
medical,מתאים,119
medical,הרבה,118
medical,חזה,118
medical,כ,118
medical,זיהום,117
medical,נוטל,117
medical,נעשה,117
medical,חיסון,116
medical,פגיעה,116
medical,צד,116
medical,מוח,115
medical,מכיוון,115
medical,כליה,114
medical,נוזל,113
medical,צורה,113
medical,שיניים,113
medical,שירות,113
medical,תריס,113
medical,יודע,112
medical,שוב,112
medical,אי,111
medical,אחת,109
medical,התייעץ,109
medical,תחתון,109
medical,זרע,108
medical,חוזר,108
medical,חוסר,108
medical,תקופה,108
medical,הורמון,107
medical,זיהומי,106
medical,ידוע,106
