Sub_Category,Lemma,Count
tapuz,/,32752
tapuz,את,20550
tapuz,של,13410
tapuz,לא,11885
tapuz,אני,11603
tapuz,זה,10957
tapuz,הוא,9824
tapuz,על,8098
tapuz,+,7857
tapuz,פורום,6832
tapuz,לי,5858
tapuz,היי,5435
tapuz,עם,4743
tapuz,כול,4613
tapuz,יש,4609
tapuz,גם,4525
tapuz,אם,4515
tapuz,=,4274
tapuz,כל,4186
tapuz,מה,4051
tapuz,יותר,3934
tapuz,או,3511
tapuz,טוב,3299
tapuz,&,3060
tapuz,אבל,3020
tapuz,חי,2560
tapuz,שנה,2468
tapuz,יום,2458
tapuz,אז,2440
tapuz,ילד,2174
tapuz,אין,2052
tapuz,רק,2020
tapuz,עוד,1991
tapuz,בית,1880
tapuz,איש,1796
tapuz,_,1750
tapuz,כי,1740
tapuz,עד,1713
tapuz,אחד,1698
tapuz,בא,1659
tapuz,לו,1627
tapuz,אל,1626
tapuz,#,1616
tapuz,כמו,1586
tapuz,שם,1572
tapuz,*,1540
tapuz,עשה,1482
tapuz,ב,1468
tapuz,רוצה,1466
tapuz,יכול,1456
tapuz,דבר,1447
tapuz,פעם,1447
tapuz,מאוד,1446
tapuz,עולם,1423
tapuz,אפשר,1415
tapuz,דרך,1384
tapuz,קיבל,1373
tapuz,אחר,1333
tapuz,משחק,1333
tapuz,חדש,1330
tapuz,כמה,1322
tapuz,מי,1319
tapuz,לב,1263
tapuz,מקום,1236
tapuz,כבר,1231
tapuz,היה,1224
tapuz,הרבה,1215
tapuz,עצם,1209
tapuz,נושא,1203
tapuz,אלה,1194
tapuz,כך,1188
tapuz,זמן,1157
tapuz,צריך,1138
tapuz,י,1135
tapuz,ניהל,1115
tapuz,תודה,1114
tapuz,גדול,1094
tapuz,עכשיו,1087
tapuz,יודע,1053
tapuz,איך,1050
tapuz,ה,1041
tapuz,דיבר,1038
tapuz,קצת,1037
tapuz,אחת,1030
tapuz,בעל,1016
tapuz,ממש,1015
tapuz,~,1010
tapuz,איזה,984
tapuz,כאן,975
tapuz,אוהב,974
tapuz,חלק,970
tapuz,הכי,959
tapuz,כ,956
tapuz,כן,940
tapuz,תמיד,938
tapuz,אהבה,934
tapuz,התחיל,921
tapuz,אחרי,920
tapuz,משהו,910
tapuz,קטן,884
tapuz,שלום,875
tapuz,שאלה,867
tapuz,פשוט,862
tapuz,הגיע,860
tapuz,חג,846
tapuz,בין,845
tapuz,עושה,838
tapuz,תפוז,838
tapuz,שבוע,837
tapuz,יד,828
tapuz,פה,823
tapuz,אולי,814
tapuz,כדי,811
tapuz,הזמין,806
tapuz,לפני,797
tapuz,כלל,790
tapuz,שעה,782
tapuz,שחקן,777
tapuz,אוכל,766
tapuz,יוצא,765
tapuz,תמונה,755
tapuz,בל,752
tapuz,נוסף,750
tapuz,הראה,744
tapuz,ראשון,733
tapuz,מים,724
tapuz,הורה,717
tapuz,אדם,713
tapuz,יחידה,708
tapuz,דקה,706
tapuz,חצי,698
tapuz,נראה,691
tapuz,מישהו,684
tapuz,שום,684
tapuz,נתן,666
tapuz,שמן,663
tapuz,א,662
tapuz,למען,659
tapuz,ארץ,650
tapuz,הודעה,641
tapuz,רגע,640
tapuz,שלושה,640
tapuz,לה,639
tapuz,ל,631
tapuz,מתכון,631
tapuz,עניין,630
tapuz,אצל,625
tapuz,מוסיף,625
tapuz,ישראל,622
tapuz,נכנס,621
tapuz,אופן,620
tapuz,דעת,619
tapuz,חושב,614
tapuz,בעיה,610
tapuz,ש,609
tapuz,חבר,605
tapuz,רב,604
tapuz,בת,602
tapuz,כוס,598
tapuz,אחרון,593
tapuz,ראש,591
tapuz,עוגה,590
tapuz,קשה,589
tapuz,פלפל,586
tapuz,בן,584
tapuz,קל,583
tapuz,כמובן,582
tapuz,שניים,576
tapuz,אומר,574
tapuz,עבודה,574
tapuz,נבחר,572
tapuz,ספר,570
tapuz,אלא,569
tapuz,נכון,563
tapuz,עבר,563
tapuz,יפה,561
tapuz,נמצא,559
tapuz,מצב,556
tapuz,אמר,555
tapuz,בלוג,555
tapuz,צד,547
tapuz,למה,546
