,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sub_Category,,,,,,,,,,,,,,,,
0,43567.0,18.827621823857505,11.503047385694584,3.0,11.0,17.0,24.0,128.0,43567.0,5.595358872541143,1.951964002254666,1.0,4.0,5.0,7.0,19.0
6,3238.0,14.106856084002471,9.066619665104719,3.0,8.0,12.0,18.0,86.0,3238.0,5.166769610870908,1.8318184892309406,1.0,4.0,5.0,6.0,16.0
7,8515.0,13.738813857897828,8.630522573922494,3.0,7.0,12.0,18.0,80.0,8515.0,4.896652965355256,1.6726128814661483,1.0,4.0,5.0,6.0,15.0
0,2198.0,19.75705186533212,12.092690602066556,3.0,12.0,17.0,25.0,107.0,2198.0,5.721110100090992,1.9281637446538198,2.0,4.0,6.0,7.0,16.0
06,743.0,13.606998654104979,7.574183311725484,3.0,8.0,12.0,18.0,47.0,743.0,5.064602960969045,1.730843965443908,2.0,4.0,5.0,6.0,13.0
abdim,106.0,47.801886792452834,24.19540287359633,10.0,28.25,44.5,60.5,106.0,106.0,6.7924528301886795,2.0826584711079317,1.0,6.0,7.0,8.0,14.0
abl,184.0,43.32065217391305,23.28325009725813,5.0,26.5,37.0,59.0,107.0,184.0,6.266304347826087,2.0405065895112706,1.0,5.0,6.0,7.0,15.0
abowdt-iowm-hkpowrim,51.0,45.03921568627451,30.25885707313726,6.0,19.5,37.0,62.5,107.0,51.0,6.627450980392157,1.9074672664423415,3.0,5.0,6.0,8.0,14.0
abowdt-kowkbim,129.0,55.13953488372093,24.694933749799304,11.0,37.0,49.0,72.0,108.0,129.0,6.89922480620155,2.40716690725422,1.0,6.0,7.0,8.0,14.0
adowt,158.0,51.107594936708864,25.214389139071656,5.0,33.0,45.0,68.0,105.0,158.0,7.360759493670886,2.6038148261338874,1.0,6.0,7.0,9.0,17.0
airowbin,164.0,55.701219512195124,20.108655731139315,3.0,40.75,52.5,67.0,102.0,164.0,7.0426829268292686,2.5938828694768805,1.0,6.0,7.0,9.0,16.0
aishowt,646.0,43.54179566563467,17.71656131950103,3.0,31.0,42.0,55.0,99.0,646.0,6.746130030959752,2.3854745599333045,1.0,5.0,7.0,8.0,17.0
aisowri-biah,493.0,46.817444219066935,19.278846509140532,6.0,32.0,45.0,59.0,104.0,493.0,6.9736308316430025,2.2199470809682627,1.0,6.0,7.0,8.0,15.0
aisowri-mzbch,99.0,45.717171717171716,20.51134101628996,5.0,31.0,42.0,58.5,107.0,99.0,6.424242424242424,2.2227529772274863,2.0,5.0,7.0,8.0,13.0
arkin,168.0,41.982142857142854,19.425729346671346,6.0,28.75,38.0,52.25,107.0,168.0,6.511904761904762,2.0059435495071947,2.0,5.0,6.5,8.0,12.0
articles,5991.0,19.10949757970289,11.597148414597566,3.0,11.0,17.0,24.0,114.0,5991.0,5.8592889334001,1.981061441719858,1.0,4.0,6.0,7.0,21.0
baba-metsiah,445.0,19.312359550561798,11.2489821383853,3.0,11.0,17.0,25.0,64.0,445.0,5.047191011235955,1.4841573190422799,1.0,4.0,5.0,6.0,11.0
biat-hmkdsh,144.0,42.43055555555556,20.377436025906178,5.0,27.0,40.0,53.25,97.0,144.0,6.916666666666667,2.777280452760706,1.0,5.0,7.0,9.0,15.0
bit-hbchirh,133.0,41.53383458646616,19.89462729062892,5.0,29.0,38.0,51.0,101.0,133.0,6.774436090225564,2.3792554901003125,1.0,5.0,7.0,8.0,17.0
bkowrim,221.0,37.158371040723985,18.359225698365417,4.0,24.0,35.0,46.0,103.0,221.0,6.276018099547511,2.3082489387644656,1.0,5.0,6.0,8.0,16.0
bkowrowt,119.0,41.50420168067227,20.15443507972151,5.0,27.0,38.0,54.0,100.0,119.0,6.73109243697479,1.645216378492799,3.0,6.0,7.0,8.0,12.0
blogs,462798.0,12.363826118522551,10.714771638023347,2.0,5.0,9.0,16.0,147.0,462798.0,4.206861308821559,1.7792114568934612,0.0,3.0,4.0,5.0,30.0
brkowt,176.0,52.45454545454545,18.02373615361324,20.0,39.0,49.0,63.5,100.0,176.0,7.482954545454546,2.2902886451104973,2.0,6.0,7.0,9.0,16.0
chgigh,28.0,42.214285714285715,17.349046601742067,15.0,29.5,45.5,54.5,78.0,28.0,6.821428571428571,2.326236372636208,3.0,5.75,6.5,7.25,14.0
chmz-owmzh,123.0,51.16260162601626,19.295108521285755,11.0,38.0,49.0,64.0,103.0,123.0,7.373983739837398,2.3691956647972527,1.0,6.0,7.0,8.0,14.0
chowbl-owmzik,154.0,40.52597402597402,14.628380533023085,6.0,29.25,41.0,52.0,78.0,154.0,6.4935064935064934,2.338221080269998,1.0,5.0,6.0,8.0,17.0
daowt,52.0,68.07692307692308,27.560874622456215,23.0,41.75,67.0,96.5,113.0,52.0,7.653846153846154,2.448565929911256,3.0,6.0,8.0,9.0,16.0
doctors,11958.0,17.713580866365614,10.050112849714084,3.0,10.0,16.0,23.0,92.0,11958.0,5.744355243351731,1.9282846455446419,1.0,4.0,6.0,7.0,20.0
