Sub_Category,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
0,0.0742473709491404,0.09439590957966884,0.05230183673917231,0.014019979079752956,0.007902391686518144,0.008802108604853595,8.655813170977912e-05,0.3278029595566273,0.01256433951268991,0.034436726005720154,0.0995503853665554,0.12768299730084925,0.011342772639827957,0.011840177115005278,0.1224700033404124,0.0005534843914963341
6,0.09666783125163769,0.08413398550091711,0.059917896759542316,0.015962092759192942,0.014193379334439689,0.01115817975369028,0.00013101580924098174,0.4038999039217399,0.004563717355227531,0.047667918595510526,0.023866713250065508,0.0827583195038868,0.013167088828718665,0.007162197571840335,0.13453140012228143,0.0002183596820683029
7,0.08412972492434992,0.08680525874891012,0.06632417554237259,0.019651924161865522,0.013061391961431282,0.012685278580342947,0.00011967243943719761,0.37317285829073565,0.005547672371052946,0.060682474826047564,0.03126869881866206,0.09068606499923068,0.01629254782623562,0.002778110201220659,0.13661463764894946,0.00017950865915579642
0,0.07612050301718182,0.09537519001335852,0.052052144271960935,0.01333548297940946,0.00778478971854991,0.007577502418351836,2.3031922244230504e-05,0.3271684554792943,0.011769312266801788,0.03397208531023999,0.10216960707540651,0.12692892348795431,0.011308673821917177,0.011538993044359482,0.12216131558339859,0.0007139895895711456
06,0.09201543484713565,0.08489165924606708,0.06193727119817948,0.015830612446819037,0.014247551202137132,0.012862372613040468,0.00019788265558523795,0.3958642524982685,0.004155535767289997,0.052438903730088055,0.02226179875333927,0.08855248837439399,0.013357079252003561,0.008113188878994756,0.1329771445532799,0.00029682398337785694
abdim,0.037102822182751134,0.10716400236826525,0.08190250641405171,0.03295835800276298,0.03078744819419775,0.011643970791395303,0.0,0.31774225379909216,0.0205249654627985,0.06216696269982238,0.011643970791395303,0.036313400434181964,0.023485297019932898,0.0007894217485691731,0.22498519834221434,0.0007894217485691731
abl,0.03550370091581985,0.1067620122945678,0.07753105005645465,0.029983690879437964,0.029983690879437964,0.023334587881068874,0.0,0.3033496424538954,0.030109145652992095,0.04428553506460921,0.016685484882699785,0.08342742441349893,0.014050934638062978,0.0,0.20474219044034625,0.0002509095471082675
abowdt-iowm-hkpowrim,0.037004788855028295,0.10709621245102308,0.05964301262516326,0.022638223770134958,0.012189812799303439,0.013931214627775359,0.0017414018284719198,0.37309534175010883,0.030474531998258596,0.04440574662603396,0.013495864170657379,0.07618632999564649,0.01697866782760122,0.0017414018284719198,0.1893774488463213,0.0
abowdt-kowkbim,0.0340222128497118,0.10305075214396175,0.06874736398144243,0.03458456347532687,0.030366933783213833,0.0213693237733727,0.0,0.3230704344158583,0.018557570645297342,0.06649796147898214,0.017151694081259664,0.04878391677210741,0.01630816814283706,0.0,0.2170673414874174,0.00042176296921130323
adowt,0.05151702786377709,0.09572755417956656,0.08309597523219814,0.02637770897832817,0.02873065015479876,0.013869969040247678,0.0,0.2891640866873065,0.034303405572755415,0.08074303405572755,0.020185758513931888,0.053126934984520126,0.016842105263157894,0.0,0.20619195046439628,0.0001238390092879257
airowbin,0.0475095785440613,0.09786535303776683,0.06973180076628352,0.04050355774493705,0.03229337712096333,0.02375478927203065,0.0,0.30793650793650795,0.05856595511767926,0.07443897099069513,0.012917350848385332,0.04696223316912972,0.024630541871921183,0.0,0.1625615763546798,0.0003284072249589491
aishowt,0.039640216154721276,0.10310011376564278,0.08080915813424346,0.030681171786120592,0.034023037542662116,0.014718430034129693,0.0,0.2977815699658703,0.025775028441410695,0.07867605233219567,0.008283560864618886,0.04774601820250284,0.02253981797497156,0.0019553469852104663,0.21377275312855518,0.0004977246871444823
aisowri-biah,0.052294094709934576,0.0993457822451367,0.07434686538711495,0.028205017113643257,0.03453056626662623,0.014904033620727005,0.0,0.32611238681166327,0.033317447250985656,0.06516182141155062,0.01689701486070794,0.05155755816472423,0.02027641783284953,0.0003466054330401629,0.1819245266669555,0.0007798622243403666
