Sub_Category,אילו,אם,אשר,יען,כאשר,כי,לו,למען,מאשר,פן,ש
0,2.682082954387522,26.83302083003153,4.449819447052025,0.0,5.02280989639845,56.433463617544724,18.39665080986714,2.0359447881032553,0.292590867751366,0.23163443696983144,1.7189713480392754
6,1.7468774565464233,115.94899117826884,6.987509826185693,0.0,11.136343785483449,19.43401170407896,5.022272687570967,0.43671936413660584,0.43671936413660584,0.0,0.6550790462049086
7,1.624125963790539,141.2989588497769,15.471936812951977,0.0,11.539842374301198,18.378267484998204,8.548031388371259,0.08548031388371259,0.17096062776742518,0.08548031388371259,0.08548031388371259
0,1.8425537795384404,30.171818139941962,4.376065226403796,0.0,2.7638306693076604,59.4223593901147,16.813303238288267,2.3031922244230505,0.0,0.23031922244230504,0.6909576673269151
06,1.9788265558523794,134.5602057979618,5.936479667557139,0.0,8.904719501335707,12.862372613040467,5.936479667557139,0.0,0.0,0.0,0.0
abdim,1.9735543714229329,179.59344779948688,7.8942174856917315,0.0,0.0,17.761989342806395,209.19676337083087,0.0,0.0,0.0,0.0
abl,0.0,90.32743695897629,7.527286413248024,0.0,0.0,3.763643206624012,131.72751223184042,0.0,0.0,0.0,0.0
abowdt-iowm-hkpowrim,4.3535045711797995,100.13060513713539,8.707009142359599,0.0,0.0,17.414018284719198,34.828036569438396,0.0,0.0,0.0,0.0
abowdt-kowkbim,0.0,111.06424855897652,8.435259384226065,0.0,0.0,5.62350625615071,89.97610009841137,1.4058765640376776,0.0,1.4058765640376776,0.0
adowt,1.238390092879257,133.74613003095976,1.238390092879257,0.0,3.7151702786377707,0.0,89.1640866873065,0.0,0.0,0.0,0.0
airowbin,1.0946907498631637,204.70717022441158,0.0,0.0,0.0,0.0,91.95402298850574,0.0,0.0,0.0,0.0
aishowt,1.422070534698521,201.22298065984072,1.0665529010238908,0.0,0.0,1.7775881683731514,113.41012514220705,0.35551763367463024,0.0,0.35551763367463024,1.0665529010238908
aisowri-biah,3.466054330401629,157.70547203327413,3.466054330401629,0.0,0.0,5.199081495602443,57.18989645162688,0.0,0.0,0.0,0.0
aisowri-mzbch,0.0,167.91869200176757,8.837825894829873,0.0,0.0,11.04728236853734,22.09456473707468,2.2094564737074682,0.0,0.0,0.0
arkin,2.835672763363108,167.30469303842338,15.596200198497094,0.0,1.417836381681554,4.253509145044662,93.57720119098255,0.0,0.0,0.0,0.0
articles,2.7951259990391755,24.457352491592783,21.400183430143688,0.0,16.50871293182513,33.454164301000134,10.132331746517012,0.43673843734987117,0.08734768746997423,0.2620430624099227,0.8734768746997423
baba-metsiah,1.4051258992805755,85.05695443645084,3.091276978417266,0.0,0.18735011990407674,4.964778177458033,85.0101169064748,0.18735011990407674,0.0,0.18735011990407674,0.0
biat-hmkdsh,1.6366612111292964,130.9328968903437,9.819967266775777,0.0,0.0,16.366612111292962,42.5531914893617,0.0,0.0,1.6366612111292964,0.0
bit-hbchirh,0.0,39.826212889210716,5.430847212165098,0.0,0.0,5.430847212165098,56.11875452570602,0.0,0.0,0.0,0.0
bkowrim,0.0,157.0871894788115,13.395031660983925,0.0,1.2177301509985388,3.653190452995616,121.77301509985386,0.0,0.0,0.0,0.0
bkowrowt,4.049402713099818,141.72909495849362,2.024701356549909,0.0,0.0,4.049402713099818,111.35857461024499,0.0,0.0,0.0,0.0
